id,title,genres,keywords,overview,cast,crew,vote_average,runtime,release_date,popularity,original_language
80177,Gundala Part 5,"[{""id"": 0, ""name"": ""Action""}, {""id"": 1, ""name"": ""Sci-Fi""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Action, Sci-Fi genre, directed by Joko Anwar. This film features standout performances by Abimana Aryasatya, Tara Basro.","[{""name"": ""Abimana Aryasatya"", ""character"": """"}, {""name"": ""Tara Basro"", ""character"": """"}]","[{""name"": ""Joko Anwar"", ""job"": ""Director""}]",8.3,123,2016-03-25,65.7,id
80178,Impetigore Part 5,"[{""id"": 0, ""name"": ""Horror""}, {""id"": 1, ""name"": ""Mystery""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Horror, Mystery genre, directed by Joko Anwar. This film features standout performances by Tara Basro, Marissa Anita.","[{""name"": ""Tara Basro"", ""character"": """"}, {""name"": ""Marissa Anita"", ""character"": """"}]","[{""name"": ""Joko Anwar"", ""job"": ""Director""}]",5.9,162,2018-06-23,46.1,id
80179,The Big 4 Part 5,"[{""id"": 0, ""name"": ""Action""}, {""id"": 1, ""name"": ""Comedy""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Action, Comedy genre, directed by Timo Tjahjanto. This film features standout performances by Abimana Aryasatya, Putri Marino.","[{""name"": ""Abimana Aryasatya"", ""character"": """"}, {""name"": ""Putri Marino"", ""character"": """"}]","[{""name"": ""Timo Tjahjanto"", ""job"": ""Director""}]",5.6,122,2002-02-10,70.9,id
80180,Dilan 1990 Part 5,"[{""id"": 0, ""name"": ""Romance""}, {""id"": 1, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Romance, Drama genre, directed by Fajar Bustomi. This film features standout performances by Iqbaal Ramadhan, Vanesha Prescilla.","[{""name"": ""Iqbaal Ramadhan"", ""character"": """"}, {""name"": ""Vanesha Prescilla"", ""character"": """"}]","[{""name"": ""Fajar Bustomi"", ""job"": ""Director""}]",7.6,122,2005-09-27,76.1,id
80181,Dilan 1991 Part 5,"[{""id"": 0, ""name"": ""Romance""}, {""id"": 1, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Romance, Drama genre, directed by Fajar Bustomi. This film features standout performances by Iqbaal Ramadhan, Vanesha Prescilla.","[{""name"": ""Iqbaal Ramadhan"", ""character"": """"}, {""name"": ""Vanesha Prescilla"", ""character"": """"}]","[{""name"": ""Fajar Bustomi"", ""job"": ""Director""}]",6.6,115,2021-08-14,25.4,id
80182,Milea: Suara dari Dilan Part 5,"[{""id"": 0, ""name"": ""Romance""}, {""id"": 1, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Romance, Drama genre, directed by Fajar Bustomi. This film features standout performances by Iqbaal Ramadhan, Vanesha Prescilla.","[{""name"": ""Iqbaal Ramadhan"", ""character"": """"}, {""name"": ""Vanesha Prescilla"", ""character"": """"}]","[{""name"": ""Fajar Bustomi"", ""job"": ""Director""}]",8.7,129,2017-12-17,37.4,id
80183,Stealing Raden Saleh Part 5,"[{""id"": 0, ""name"": ""Action""}, {""id"": 1, ""name"": ""Heist""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Action, Heist genre, directed by Angga Dwimas Sasongko. This film features standout performances by Iqbaal Ramadhan, Angga Yunanda.","[{""name"": ""Iqbaal Ramadhan"", ""character"": """"}, {""name"": ""Angga Yunanda"", ""character"": """"}]","[{""name"": ""Angga Dwimas Sasongko"", ""job"": ""Director""}]",6.5,125,2020-04-01,55.1,id
80184,Nanti Kita Cerita Tentang Hari Ini Part 5,"[{""id"": 0, ""name"": ""Drama""}, {""id"": 1, ""name"": ""Family""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Drama, Family genre, directed by Angga Dwimas Sasongko. This film features standout performances by Rachel Amanda, Rio Dewanto.","[{""name"": ""Rachel Amanda"", ""character"": """"}, {""name"": ""Rio Dewanto"", ""character"": """"}]","[{""name"": ""Angga Dwimas Sasongko"", ""job"": ""Director""}]",8.7,93,2007-10-20,11.7,id
80185,Sayap Sayap Patah Part 5,"[{""id"": 0, ""name"": ""Drama""}, {""id"": 1, ""name"": ""Action""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Drama, Action genre, directed by Rudi Soedjarwo. This film features standout performances by Nicholas Saputra, Ariel Tatum.","[{""name"": ""Nicholas Saputra"", ""character"": """"}, {""name"": ""Ariel Tatum"", ""character"": """"}]","[{""name"": ""Rudi Soedjarwo"", ""job"": ""Director""}]",7.8,172,2003-06-12,57.7,id
80186,Sewu Dino Part 5,"[{""id"": 0, ""name"": ""Horror""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Horror genre, directed by Kimo Stamboel. This film features standout performances by Mikha Tambayong, Rio Dewanto.","[{""name"": ""Mikha Tambayong"", ""character"": """"}, {""name"": ""Rio Dewanto"", ""character"": """"}]","[{""name"": ""Kimo Stamboel"", ""job"": ""Director""}]",6.0,100,2020-05-10,65.1,id
80187,Di Ambang Kematian Part 5,"[{""id"": 0, ""name"": ""Horror""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Horror genre, directed by Azhar Kinoi Lubis. This film features standout performances by Taskya Namya, Wafda Saifan.","[{""name"": ""Taskya Namya"", ""character"": """"}, {""name"": ""Wafda Saifan"", ""character"": """"}]","[{""name"": ""Azhar Kinoi Lubis"", ""job"": ""Director""}]",7.3,126,2019-11-15,39.6,id
80188,Siksa Neraka Part 5,"[{""id"": 0, ""name"": ""Horror""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Horror genre, directed by Anggy Umara. This film features standout performances by Kiesha Alvaro, Ariyo Wahab.","[{""name"": ""Kiesha Alvaro"", ""character"": """"}, {""name"": ""Ariyo Wahab"", ""character"": """"}]","[{""name"": ""Anggy Umara"", ""job"": ""Director""}]",5.5,168,2016-03-29,89.8,id
80189,Mencuri Raden Saleh Part 5,"[{""id"": 0, ""name"": ""Action""}, {""id"": 1, ""name"": ""Crime""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Action, Crime genre, directed by Angga Dwimas Sasongko. This film features standout performances by Iqbaal Ramadhan, Angga Yunanda.","[{""name"": ""Iqbaal Ramadhan"", ""character"": """"}, {""name"": ""Angga Yunanda"", ""character"": """"}]","[{""name"": ""Angga Dwimas Sasongko"", ""job"": ""Director""}]",7.3,147,2006-02-08,19.2,id
80190,Suzanna: Bernapas dalam Kubur Part 5,"[{""id"": 0, ""name"": ""Horror""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Horror genre, directed by Rocky Soraya. This film features standout performances by Luna Maya, Herjunot Ali.","[{""name"": ""Luna Maya"", ""character"": """"}, {""name"": ""Herjunot Ali"", ""character"": """"}]","[{""name"": ""Rocky Soraya"", ""job"": ""Director""}]",7.6,130,2006-03-03,98.1,id
80191,Sang Penari Part 5,"[{""id"": 0, ""name"": ""Drama""}, {""id"": 1, ""name"": ""History""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Drama, History genre, directed by Ifa Isfansyah. This film features standout performances by Prisia Nasution, Oka Antara.","[{""name"": ""Prisia Nasution"", ""character"": """"}, {""name"": ""Oka Antara"", ""character"": """"}]","[{""name"": ""Ifa Isfansyah"", ""job"": ""Director""}]",8.3,106,2005-05-30,16.1,id
80192,Photocopier Part 5,"[{""id"": 0, ""name"": ""Drama""}, {""id"": 1, ""name"": ""Mystery""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Drama, Mystery genre, directed by Wregas Bhanuteja. This film features standout performances by Shenina Cinnamon, Chicco Kurniawan.","[{""name"": ""Shenina Cinnamon"", ""character"": """"}, {""name"": ""Chicco Kurniawan"", ""character"": """"}]","[{""name"": ""Wregas Bhanuteja"", ""job"": ""Director""}]",8.3,102,2002-11-22,46.6,id
80193,Yuni Part 5,"[{""id"": 0, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Drama genre, directed by Kamila Andini. This film features standout performances by Arawinda Kirana, Kevin Ardilova.","[{""name"": ""Arawinda Kirana"", ""character"": """"}, {""name"": ""Kevin Ardilova"", ""character"": """"}]","[{""name"": ""Kamila Andini"", ""job"": ""Director""}]",5.9,110,2019-04-11,49.5,id
80194,"Before, Now & Then Part 5","[{""id"": 0, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Drama genre, directed by Kamila Andini. This film features standout performances by Happy Salma, Laura Basuki.","[{""name"": ""Happy Salma"", ""character"": """"}, {""name"": ""Laura Basuki"", ""character"": """"}]","[{""name"": ""Kamila Andini"", ""job"": ""Director""}]",6.2,153,2009-02-21,64.0,id
80195,Marlina the Murderer in Four Acts Part 5,"[{""id"": 0, ""name"": ""Drama""}, {""id"": 1, ""name"": ""Western""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Drama, Western genre, directed by Mouly Surya. This film features standout performances by Marsha Timothy, Dea Panendra.","[{""name"": ""Marsha Timothy"", ""character"": """"}, {""name"": ""Dea Panendra"", ""character"": """"}]","[{""name"": ""Mouly Surya"", ""job"": ""Director""}]",8.4,173,2001-11-06,10.0,id
80196,The Night Comes for Us Part 5,"[{""id"": 0, ""name"": ""Action""}, {""id"": 1, ""name"": ""Thriller""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Action, Thriller genre, directed by Timo Tjahjanto. This film features standout performances by Joe Taslim, Iko Uwais.","[{""name"": ""Joe Taslim"", ""character"": """"}, {""name"": ""Iko Uwais"", ""character"": """"}]","[{""name"": ""Timo Tjahjanto"", ""job"": ""Director""}]",8.0,98,2011-08-29,39.5,id
80197,Headshot Part 5,"[{""id"": 0, ""name"": ""Action""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Action genre, directed by The Mo Brothers. This film features standout performances by Iko Uwais, Chelsea Islan.","[{""name"": ""Iko Uwais"", ""character"": """"}, {""name"": ""Chelsea Islan"", ""character"": """"}]","[{""name"": ""The Mo Brothers"", ""job"": ""Director""}]",8.2,156,2009-01-09,71.9,id
80198,Macabre Part 5,"[{""id"": 0, ""name"": ""Horror""}, {""id"": 1, ""name"": ""Slasher""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Horror, Slasher genre, directed by The Mo Brothers. This film features standout performances by Shareefa Daanish, Julie Estelle.","[{""name"": ""Shareefa Daanish"", ""character"": """"}, {""name"": ""Julie Estelle"", ""character"": """"}]","[{""name"": ""The Mo Brothers"", ""job"": ""Director""}]",6.8,104,2005-12-20,69.1,id
80199,Susi Susanti: Love All Part 5,"[{""id"": 0, ""name"": ""Drama""}, {""id"": 1, ""name"": ""Sport""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Drama, Sport genre, directed by Sim F. This film features standout performances by Laura Basuki, Dion Wiyoko.","[{""name"": ""Laura Basuki"", ""character"": """"}, {""name"": ""Dion Wiyoko"", ""character"": """"}]","[{""name"": ""Sim F"", ""job"": ""Director""}]",5.8,110,2014-03-19,96.4,id
80200,27 Steps of May Part 5,"[{""id"": 0, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Drama genre, directed by Ravi Bharwani. This film features standout performances by Raihaanun, Lukman Sardi.","[{""name"": ""Raihaanun"", ""character"": """"}, {""name"": ""Lukman Sardi"", ""character"": """"}]","[{""name"": ""Ravi Bharwani"", ""job"": ""Director""}]",8.6,145,2005-10-17,30.5,id
80201,Danur: I Can See Ghosts Part 6,"[{""id"": 0, ""name"": ""Horror""}, {""id"": 1, ""name"": ""Mystery""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Horror, Mystery genre, directed by Awi Suryadi. This film features standout performances by Prilly Latuconsina, Shareefa Daanish.","[{""name"": ""Prilly Latuconsina"", ""character"": """"}, {""name"": ""Shareefa Daanish"", ""character"": """"}]","[{""name"": ""Awi Suryadi"", ""job"": ""Director""}]",6.0,102,2004-11-18,27.6,id
80202,Danur 2: Maddah Part 6,"[{""id"": 0, ""name"": ""Horror""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Horror genre, directed by Awi Suryadi. This film features standout performances by Prilly Latuconsina, Sophia Latjuba.","[{""name"": ""Prilly Latuconsina"", ""character"": """"}, {""name"": ""Sophia Latjuba"", ""character"": """"}]","[{""name"": ""Awi Suryadi"", ""job"": ""Director""}]",6.9,91,2001-12-30,70.9,id
80203,Danur 3: Sunyaruri Part 6,"[{""id"": 0, ""name"": ""Horror""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Horror genre, directed by Awi Suryadi. This film features standout performances by Prilly Latuconsina, Rizky Nazar.","[{""name"": ""Prilly Latuconsina"", ""character"": """"}, {""name"": ""Rizky Nazar"", ""character"": """"}]","[{""name"": ""Awi Suryadi"", ""job"": ""Director""}]",8.8,125,2001-07-05,26.2,id
80204,Asih Part 6,"[{""id"": 0, ""name"": ""Horror""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Horror genre, directed by Awi Suryadi. This film features standout performances by Shareefa Daanish, Citra Kirana.","[{""name"": ""Shareefa Daanish"", ""character"": """"}, {""name"": ""Citra Kirana"", ""character"": """"}]","[{""name"": ""Awi Suryadi"", ""job"": ""Director""}]",6.8,106,2018-11-21,43.4,id
80205,Ivanna Part 6,"[{""id"": 0, ""name"": ""Horror""}, {""id"": 1, ""name"": ""Thriller""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Horror, Thriller genre, directed by Kimo Stamboel. This film features standout performances by Caitlin Halderman, Jovarel Callum.","[{""name"": ""Caitlin Halderman"", ""character"": """"}, {""name"": ""Jovarel Callum"", ""character"": """"}]","[{""name"": ""Kimo Stamboel"", ""job"": ""Director""}]",6.8,134,2004-01-12,30.2,id
80206,Agak Laen Part 6,"[{""id"": 0, ""name"": ""Comedy""}, {""id"": 1, ""name"": ""Horror""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Comedy, Horror genre, directed by Muhadkly Acho. This film features standout performances by Bene Dion, Boris Bokir.","[{""name"": ""Bene Dion"", ""character"": """"}, {""name"": ""Boris Bokir"", ""character"": """"}]","[{""name"": ""Muhadkly Acho"", ""job"": ""Director""}]",5.6,129,2014-10-15,70.9,id
80207,KKN di Desa Penari Part 6,"[{""id"": 0, ""name"": ""Horror""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Horror genre, directed by Awi Suryadi. This film features standout performances by Tissa Biani, Adinda Thomas.","[{""name"": ""Tissa Biani"", ""character"": """"}, {""name"": ""Adinda Thomas"", ""character"": """"}]","[{""name"": ""Awi Suryadi"", ""job"": ""Director""}]",6.7,94,2000-11-03,93.0,id
80208,The Raid: Redemption Part 6,"[{""id"": 0, ""name"": ""Action""}, {""id"": 1, ""name"": ""Thriller""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Action, Thriller genre, directed by Gareth Evans. This film features standout performances by Iko Uwais, Joe Taslim.","[{""name"": ""Iko Uwais"", ""character"": """"}, {""name"": ""Joe Taslim"", ""character"": """"}]","[{""name"": ""Gareth Evans"", ""job"": ""Director""}]",7.9,160,2006-07-09,79.9,id
80209,The Raid 2 Part 6,"[{""id"": 0, ""name"": ""Action""}, {""id"": 1, ""name"": ""Crime""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Action, Crime genre, directed by Gareth Evans. This film features standout performances by Iko Uwais, Arifin Putra.","[{""name"": ""Iko Uwais"", ""character"": """"}, {""name"": ""Arifin Putra"", ""character"": """"}]","[{""name"": ""Gareth Evans"", ""job"": ""Director""}]",6.3,147,2013-03-08,92.4,id
80210,Pengabdi Setan Part 6,"[{""id"": 0, ""name"": ""Horror""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Horror genre, directed by Joko Anwar. This film features standout performances by Tara Basro, Bront Palarae.","[{""name"": ""Tara Basro"", ""character"": """"}, {""name"": ""Bront Palarae"", ""character"": """"}]","[{""name"": ""Joko Anwar"", ""job"": ""Director""}]",7.5,164,2011-10-15,58.9,id
80211,Pengabdi Setan 2: Communion Part 6,"[{""id"": 0, ""name"": ""Horror""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Horror genre, directed by Joko Anwar. This film features standout performances by Tara Basro, Endy Arfian.","[{""name"": ""Tara Basro"", ""character"": """"}, {""name"": ""Endy Arfian"", ""character"": """"}]","[{""name"": ""Joko Anwar"", ""job"": ""Director""}]",7.6,89,2004-01-04,15.1,id
80212,Laskar Pelangi Part 6,"[{""id"": 0, ""name"": ""Drama""}, {""id"": 1, ""name"": ""Family""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Drama, Family genre, directed by Riri Riza. This film features standout performances by Cut Mini, Ikranagara.","[{""name"": ""Cut Mini"", ""character"": """"}, {""name"": ""Ikranagara"", ""character"": """"}]","[{""name"": ""Riri Riza"", ""job"": ""Director""}]",7.4,123,2002-06-04,20.7,id
80213,Habibie & Ainun Part 6,"[{""id"": 0, ""name"": ""Drama""}, {""id"": 1, ""name"": ""Romance""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Drama, Romance genre, directed by Faozan Rizal. This film features standout performances by Reza Rahadian, Bunga Citra Lestari.","[{""name"": ""Reza Rahadian"", ""character"": """"}, {""name"": ""Bunga Citra Lestari"", ""character"": """"}]","[{""name"": ""Faozan Rizal"", ""job"": ""Director""}]",6.0,101,2023-05-07,43.8,id
80214,Ayat-Ayat Cinta Part 6,"[{""id"": 0, ""name"": ""Drama""}, {""id"": 1, ""name"": ""Romance""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Drama, Romance genre, directed by Hanung Bramantyo. This film features standout performances by Fedi Nuril, Rianti Cartwright.","[{""name"": ""Fedi Nuril"", ""character"": """"}, {""name"": ""Rianti Cartwright"", ""character"": """"}]","[{""name"": ""Hanung Bramantyo"", ""job"": ""Director""}]",6.4,151,2012-06-09,57.9,id
80215,Ada Apa Dengan Cinta? Part 6,"[{""id"": 0, ""name"": ""Romance""}, {""id"": 1, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Romance, Drama genre, directed by Rudi Soedjarwo. This film features standout performances by Dian Sastrowardoyo, Nicholas Saputra.","[{""name"": ""Dian Sastrowardoyo"", ""character"": """"}, {""name"": ""Nicholas Saputra"", ""character"": """"}]","[{""name"": ""Rudi Soedjarwo"", ""job"": ""Director""}]",5.9,120,2022-04-01,10.0,id
80216,Ada Apa Dengan Cinta 2 Part 6,"[{""id"": 0, ""name"": ""Romance""}, {""id"": 1, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Romance, Drama genre, directed by Riri Riza. This film features standout performances by Dian Sastrowardoyo, Nicholas Saputra.","[{""name"": ""Dian Sastrowardoyo"", ""character"": """"}, {""name"": ""Nicholas Saputra"", ""character"": """"}]","[{""name"": ""Riri Riza"", ""job"": ""Director""}]",8.8,101,2009-06-03,29.6,id
80217,Gundala Part 6,"[{""id"": 0, ""name"": ""Action""}, {""id"": 1, ""name"": ""Sci-Fi""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Action, Sci-Fi genre, directed by Joko Anwar. This film features standout performances by Abimana Aryasatya, Tara Basro.","[{""name"": ""Abimana Aryasatya"", ""character"": """"}, {""name"": ""Tara Basro"", ""character"": """"}]","[{""name"": ""Joko Anwar"", ""job"": ""Director""}]",8.7,170,2012-02-01,98.2,id
80218,Impetigore Part 6,"[{""id"": 0, ""name"": ""Horror""}, {""id"": 1, ""name"": ""Mystery""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Horror, Mystery genre, directed by Joko Anwar. This film features standout performances by Tara Basro, Marissa Anita.","[{""name"": ""Tara Basro"", ""character"": """"}, {""name"": ""Marissa Anita"", ""character"": """"}]","[{""name"": ""Joko Anwar"", ""job"": ""Director""}]",5.6,162,2014-02-22,20.9,id
80219,The Big 4 Part 6,"[{""id"": 0, ""name"": ""Action""}, {""id"": 1, ""name"": ""Comedy""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Action, Comedy genre, directed by Timo Tjahjanto. This film features standout performances by Abimana Aryasatya, Putri Marino.","[{""name"": ""Abimana Aryasatya"", ""character"": """"}, {""name"": ""Putri Marino"", ""character"": """"}]","[{""name"": ""Timo Tjahjanto"", ""job"": ""Director""}]",7.0,142,2004-11-12,38.6,id
80220,Dilan 1990 Part 6,"[{""id"": 0, ""name"": ""Romance""}, {""id"": 1, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Romance, Drama genre, directed by Fajar Bustomi. This film features standout performances by Iqbaal Ramadhan, Vanesha Prescilla.","[{""name"": ""Iqbaal Ramadhan"", ""character"": """"}, {""name"": ""Vanesha Prescilla"", ""character"": """"}]","[{""name"": ""Fajar Bustomi"", ""job"": ""Director""}]",7.7,153,2000-01-27,91.6,id
80221,Dilan 1991 Part 6,"[{""id"": 0, ""name"": ""Romance""}, {""id"": 1, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Romance, Drama genre, directed by Fajar Bustomi. This film features standout performances by Iqbaal Ramadhan, Vanesha Prescilla.","[{""name"": ""Iqbaal Ramadhan"", ""character"": """"}, {""name"": ""Vanesha Prescilla"", ""character"": """"}]","[{""name"": ""Fajar Bustomi"", ""job"": ""Director""}]",6.5,89,2002-02-02,20.5,id
80222,Milea: Suara dari Dilan Part 6,"[{""id"": 0, ""name"": ""Romance""}, {""id"": 1, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Romance, Drama genre, directed by Fajar Bustomi. This film features standout performances by Iqbaal Ramadhan, Vanesha Prescilla.","[{""name"": ""Iqbaal Ramadhan"", ""character"": """"}, {""name"": ""Vanesha Prescilla"", ""character"": """"}]","[{""name"": ""Fajar Bustomi"", ""job"": ""Director""}]",5.8,136,2025-07-19,14.8,id
80223,Stealing Raden Saleh Part 6,"[{""id"": 0, ""name"": ""Action""}, {""id"": 1, ""name"": ""Heist""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Action, Heist genre, directed by Angga Dwimas Sasongko. This film features standout performances by Iqbaal Ramadhan, Angga Yunanda.","[{""name"": ""Iqbaal Ramadhan"", ""character"": """"}, {""name"": ""Angga Yunanda"", ""character"": """"}]","[{""name"": ""Angga Dwimas Sasongko"", ""job"": ""Director""}]",5.7,104,2009-08-14,87.7,id
80224,Nanti Kita Cerita Tentang Hari Ini Part 6,"[{""id"": 0, ""name"": ""Drama""}, {""id"": 1, ""name"": ""Family""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Drama, Family genre, directed by Angga Dwimas Sasongko. This film features standout performances by Rachel Amanda, Rio Dewanto.","[{""name"": ""Rachel Amanda"", ""character"": """"}, {""name"": ""Rio Dewanto"", ""character"": """"}]","[{""name"": ""Angga Dwimas Sasongko"", ""job"": ""Director""}]",5.7,151,2024-02-04,53.0,id
80225,Sayap Sayap Patah Part 6,"[{""id"": 0, ""name"": ""Drama""}, {""id"": 1, ""name"": ""Action""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Drama, Action genre, directed by Rudi Soedjarwo. This film features standout performances by Nicholas Saputra, Ariel Tatum.","[{""name"": ""Nicholas Saputra"", ""character"": """"}, {""name"": ""Ariel Tatum"", ""character"": """"}]","[{""name"": ""Rudi Soedjarwo"", ""job"": ""Director""}]",8.5,149,2015-03-17,93.2,id
80226,Sewu Dino Part 6,"[{""id"": 0, ""name"": ""Horror""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Horror genre, directed by Kimo Stamboel. This film features standout performances by Mikha Tambayong, Rio Dewanto.","[{""name"": ""Mikha Tambayong"", ""character"": """"}, {""name"": ""Rio Dewanto"", ""character"": """"}]","[{""name"": ""Kimo Stamboel"", ""job"": ""Director""}]",5.6,175,2009-06-18,12.7,id
80227,Di Ambang Kematian Part 6,"[{""id"": 0, ""name"": ""Horror""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Horror genre, directed by Azhar Kinoi Lubis. This film features standout performances by Taskya Namya, Wafda Saifan.","[{""name"": ""Taskya Namya"", ""character"": """"}, {""name"": ""Wafda Saifan"", ""character"": """"}]","[{""name"": ""Azhar Kinoi Lubis"", ""job"": ""Director""}]",6.9,89,2007-12-23,90.3,id
80228,Siksa Neraka Part 6,"[{""id"": 0, ""name"": ""Horror""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Horror genre, directed by Anggy Umara. This film features standout performances by Kiesha Alvaro, Ariyo Wahab.","[{""name"": ""Kiesha Alvaro"", ""character"": """"}, {""name"": ""Ariyo Wahab"", ""character"": """"}]","[{""name"": ""Anggy Umara"", ""job"": ""Director""}]",7.3,97,2021-12-27,71.3,id
